n_legislatura;n_govern;persona;cargo
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Vicente Rambla Momplet;Conseller de Presidencia y Vicepresidente 1º
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Belén Juste Picón;Consellera de Industria, Comercio e Innovación
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Gerardo Camps Devesa;Conseller de Economía, Hacienda y Empleo y Vicepresidente 2º
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Maritina Hernández Miñana;Consellera de Agricultura, Pesca y Alimentación
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Juan Gabriel Cotino Ferrer;Conseller de Bienestar Social y Vicepresidente 3º
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;José Ramón García Antón;Conseller de Medio Ambiente, Agua, Urbanismo y Vivienda
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Mario Flores Lanuza;Conseller de Infraestructuras y Transporte
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Fernando de Rosa Torner;Consellera de Justicia y Administraciones Públicas
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Serafín Castellano Gómez;Conseller de Gobernación
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Alejandro Font de Mora Turón;Conseller de Educación
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Angélica Such Ronda;Consellera de Turismo
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Trinidad María Miró Mira;Consellera de Cultura y Deporte
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Rafael Blasco Castany;Conseller de Inmigración y Ciudadanía
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Manuel Cervera Taulet;Conseller de Sanidad
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Alberto Fabra Part;Presidente
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;José Ciscar Bolufer;Vicepresidente y Portavoz del Consell (hasta 29/05/2014) y Conseller de Presidencia y
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Manuel Llombart Fuertes;Conseller de Sanidad
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Isabel Bonig Trigueros;Consellera de Infraestructuras, Territorio y Medio Ambiente
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Máximo Buch Torralva;Conseller de Economía, Industria, Turismo y Empleo
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Asunción Sánchez Zaplana;Consellera de Bienestar Social (hasta 12/06/2015)
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Juan Carlos Moragues Ferrer;Conseller de Hacienda y Administración Pública
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Luis Santamaría Ruiz;Conseller de Gobernación y Justicia
VIII Legislatura;Sexto gobierno (PP) desde 12.06.2014 al 26.06.2015;Mª José Català Verdet;Portavoz del Consell (desde 29/05/2014) y Consellera de Educación, Cultura y Deporte
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Alberto Fabra Part;Presidente
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;José Ciscar Bolufer;Vicepresidente y Portavoz del Consell (hasta 29/05/2014) y Conseller de Presidencia y
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Manuel Llombart Fuertes;Conseller de Sanidad
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Isabel Bonig Trigueros;Consellera de Infraestructuras, Territorio y Medio Ambiente
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Máximo Buch Torralva;Conseller de Economía, Industria, Turismo y Empleo
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Asunción Sánchez Zaplana;Consellera de Bienestar Social (hasta 12/06/2015)
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Juan Carlos Moragues Ferrer;Conseller de Hacienda y Administración Pública
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Serafín Castellano Gómez;Conseller de Gobernación y Justicia
VIII Legislatura;Quinto gobierno (PP) desde 7.12.2012 al 12.06.2014;Mª José Català Verdet;Portavoz del Consell (desde 29/05/2014) y Consellera de Educación, Cultura y Deporte
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Alberto Fabra Part;Presidente
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;José Ciscar Bolufer;Conseller de Presidencia y Vicepresidente y Portavoz del Consell
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Isabel Bonig Trigueros;Consellera de Infraestructuras, Territorio y Medio Ambiente
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Máximo Buch Torralva;Conseller de Economía, Industria y Comercio
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Jorge Cabré Rico;Conseller de Justicia y Bienestar Social
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;José Manuel Vela Bargues;Conseller de Hacienda y Administración Pública. Cesa el 30/11/2012
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Maritina Hernández Miñana;Consellera de Agricultura, Pesca, Alimentación y Agua
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Dolores Johnson Sastre;Consellera de Turismo, Cultura, Deporte
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Mª José Català Verdet;Consellera de Educación, Formación y Empleo
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Serafín Castellano Gómez;Conseller de Gobernación
VIII Legislatura;Cuarto gobierno (PP) de 20.01.2012 a 7.12.2012;Luis Rosado Bretón;Conseller de Sanidad
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Alberto Fabra Part;Presidente
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;José Ciscar Bolufer;Conseller de Presidencia y Vicepresidente y Portavoz del Consell
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Isabel Bonig Trigueros;Consellera de Infraestructuras, Territorio y Medio Ambiente
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Enrique Verdeguer Puig;Conseller de Economía, Industria y Comercio
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Jorge Cabré Rico;Conseller de Justicia y Bienestar Social
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;José Manuel Vela Bargues;Conseller de Hacienda y Administración Pública
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Maritina Hernández Miñana;Consellera de Agricultura, Pesca, Alimentación y Agua
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Dolores Johnson Sastre;Consellera de Turismo, Cultura, Deporte
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Mª José Català Verdet;Consellera de Educación, Formación y Empleo
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Serafín Castellano Gómez;Conseller de Gobernación
VIII Legislatura;Tercer gobierno (PP) de 30.12.2011 a 20.01.2012;Luis Rosado Bretón;Conseller de Sanidad
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Alberto Fabra Part;Presidente
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Paula Sánchez de León Guardiola;Consellera de Presidencia y Vicepresidenta del Consell
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Isabel Bonig Trigueros;Consellera de Infraestructuras, Territorio y Medio Ambiente
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Enrique Verdeguer Puig;Conseller de Economía, Industria y Comercio
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Jorge Cabré Rico;Conseller de Justicia y Bienestar Social
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;José Manuel Vela Bargues;Conseller de Hacienda y Administración Pública
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Maritina Hernández Miñana;Consellera de Agricultura, Pesca, Alimentación y Agua
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Dolores Johnson Sastre;Consellera de Turismo, Cultura, Deporte y Portavoz del Consell
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;José Ciscar Bolufer;Consellera de Educación, Formación y Empleo
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Serafín Castellano Gómez;Conseller de Gobernación
VIII Legislatura;Segundo gobierno (PP) de 28.07.2011 a 30.12.2011;Luis Rosado Bretón;Conseller de Sanidad
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Francisco Enrique Camps Ortiz;Presidente
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Paula Sánchez de León Guardiola;Consellera de Presidencia y Vicepresidenta del Consell
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Isabel Bonig Trigueros;Consellera de Infraestructuras, Territorio y Medio Ambiente
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Enrique Verdeguer Puig;Conseller de Economía, Industria y Comercio
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Jorge Cabré Rico;Conseller de Justicia y Bienestar Social
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;José Manuel Vela Bargues;Conseller de Hacienda y Administración Pública
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Maritina Hernández Miñana;Consellera de Agricultura, Pesca, Alimentación y Agua
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Dolores Johnson Sastre;Consellera de Turismo, Cultura, Deporte y Portavoz del Consell
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;José Ciscar Bolufer;Consellera de Educación, Formación y Empleo
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Serafín Castellano Gómez;Conseller de Gobernación
VIII Legislatura;Primer gobierno (PP) de 22.06.2011 a 28.07.2011;Luis Rosado Bretón;Conseller de Sanidad
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Ximo Puig i Ferrer;Presidente
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Mónica Oltra Jarque;Vicepresidenta y Portavoz del Consell y Consellera de Igualdad y Políticas Inclusivas
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Rafael Climent González;Conseller de Economía Sostenible, Sectores Productivos, Comercio y Trabajo
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Vicent Soler i Marco;Conseller de Hacienda y Modelo Económico
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Elena Cebrián Calvo;Consellera de Agricultura, Medio Ambiente, Cambio Climático y Desarrollo Rural
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Gabriela Bravo Sanestanislao;Consellera de Justicia, Administración Pública, Reformas Democráticas y Libertades Públicas
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;María José Salvador Rubert;Consellera de Vivienda, Obras Públicas y Vertebración del Territorio. Cesa el día 16/05/2019
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Vicent Marzà Ibáñez;Conseller de Educación, Investigación, Cultura y Deporte
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Manuel Alcaraz Ramos;Conseller de Transparencia, Responsabilidad Social, Participación y Cooperación
IX Legislatura;Segundo gobierno (PSOE+Compromís) de 08.06.2018 a 16.06.2019;Ana Barceló Chico;Consellera de Sanidad Universal y Salud Pública
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Ximo Puig i Ferrer;Presidente
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Mónica Oltra Jarque;Vicepresidenta y Portavoz del Consell y Consellera de Igualdad y Políticas Inclusivas
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Rafael Climent González;Conseller de Economía Sostenible, Sectores Productivos, Comercio y Trabajo
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Vicent Soler i Marco;Conseller de Hacienda y Modelo Económico
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Elena Cebrián Calvo;Consellera de Agricultura, Medio Ambiente, Cambio Climático y Desarrollo Rural
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Gabriela Bravo Sanestanislao;Consellera de Justicia, Administración Pública, Reformas Democráticas y Libertades Públicas
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;María José Salvador Rubert;Consellera de Vivienda, Obras Públicas y Vertebración del Territorio
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Vicent Marzà Ibáñez;Conseller de Educación, Investigación, Cultura y Deporte
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Manuel Alcaraz Ramos;Conseller de Transparencia, Responsabilidad Social, Participación y Cooperación
IX Legislatura;Primer gobierno (PSOE+Compromís) de 29.06.2015 a 07.06.2018;Carmen Montón Giménez;Consellera de Sanidad Universal y Salud Pública
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Ximo Puig i Ferrer;Presidente
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Aitana Joana Mas i Mas;Vicepresidenta y Portavoz del Consell y consellera de Igualdad y Políticas Inclusiva
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Héctor Illueca Ballester;Vicepresidente segundo del Consell y conseller de Vivienda y Arquitectura Bioclimática
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Arcadi España García;Conseller de Hacienda y Modelo Económico
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Gabriela Bravo Sanestanislao;Consellera de Justicia, Interior y Administración Pública (cese 07.07.2023)
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Raquel Tamarit Iranzo;Conseller de Educación, Cultura y Deporte
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Miguel Mínguez Pérez;Conseller de Sanidad Universal y Salud Pública
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Rafael Climent González;Conseller de Economia Sostenible, Sectores Productivos, Comercio y Trabajo
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Isaura Navarro Casillas;Consellera de Agricultura, Desarrollo Rural, Emergéncia Climática y Transición Ecológica
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Rebeca Mariola Torró Soler;Consellera de Política Territorial, Obras Públicas y Movilidad
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Josefina Antonia Bueno Alonso;Consellera de Innovación, Universidades, Ciencia y Sociedad Digital
X Legislatura;Quinto gobierno (PSOE+Compromís+Unides Podem-EU) de 26.10.2022 a 16.07.2023;Rosa Pérez Garijo;Consellera de Participación, Transparencia, Cooperación y Calidad Democrática
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Ximo Puig i Ferrer;Presidente
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Aitana Joana Mas i Mas;Vicepresidenta y Portavoz del Consell y consellera de Igualdad y Políticas Inclusiva
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Héctor Illueca Ballester;Vicepresidente segundo del Consell y conseller de Vivienda y Arquitectura Bioclimática
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Arcadi España García;Conseller de Hacienda y Modelo Económico
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Gabriela Bravo Sanestanislao;Consellera de Justicia, Interior y Administración Pública
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Raquel Tamarit Iranzo;Conseller de Educación, Cultura y Deporte
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Miguel Mínguez Pérez;Conseller de Sanidad Universal y Salud Pública
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Rafael Climent González;Conseller de Economia Sostenible, Sectores Productivos, Comercio y Trabajo
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Mireia Mollà Herrera;Consellera de Agricultura, Desarrollo Rural, Emergéncia Climática y Transición Ecológica
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Rebeca Mariola Torró Soler;Consellera de Política Territorial, Obras Públicas y Movilidad
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Josefina Antonia Bueno Alonso;Consellera de Innovación, Universidades, Ciencia y Sociedad Digital
X Legislatura;Cuarto gobierno (PSOE+Compromís+Unides Podem-EU) de 29.06.2022-26.10.2022;Rosa Pérez Garijo;Consellera de Participación, Transparencia, Cooperación y Calidad Democrática
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Ximo Puig i Ferrer;Presidente
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Mónica Oltra Jarque;Vicepresidenta y Portavoz del Consell y consellera de Igualdad y Políticas Inclusiva
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Héctor Illueca Ballester;Vicepresidente segundo del Consell y conseller de Vivienda y Arquitectura Bioclimática
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Arcadi España García;Conseller de Hacienda y Modelo Económico
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Gabriela Bravo Sanestanislao;Consellera de Justicia, Interior y Administración Pública
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Raquel Tamarit Iranzo;Conseller de Educación, Cultura y Deporte
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Miguel Mínguez Pérez;Conseller de Sanidad Universal y Salud Pública
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Rafael Climent González;Conseller de Economia Sostenible, Sectores Productivos, Comercio y Trabajo
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Mireia Mollà Herrera;Consellera de Agricultura, Desarrollo Rural, Emergéncia Climática y Transición Ecológica
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Rebeca Mariola Torró Soler;Consellera de Política Territorial, Obras Públicas y Movilidad
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Josefina Antonia Bueno Alonso;Consellera de Innovación, Universidades, Ciencia y Sociedad Digital
X Legislatura;Tercer gobierno (PSOE+Compromís+Unides Podem-EU) de 14.05.2022-29.06.2022;Rosa Pérez Garijo;Consellera de Participación, Transparencia, Cooperación y Calidad Democrática
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Ximo Puig i Ferrer;Presidente
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Mónica Oltra Jarque;Vicepresidenta y Portavoz del Consell y consellera de Igualdad y Políticas Inclusiva
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Héctor Illueca Ballester;Vicepresidente segundo del Consell y conseller de Vivienda y Arquitectura Bioclimática
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Vicent Soler i Marco;Conseller de Hacienda y Modelo Económico
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Gabriela Bravo Sanestanislao;Consellera de Justicia, Interior y Administración Pública
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Vicent Marzà Ibáñez;Conseller de Educación, Cultura y Deporte
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Ana Barceló Chico;Consellera de Sanidad Universal y Salud Pública
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Rafael Climent González;Conseller de Economia Sostenible, Sectores Productivos, Comercio y Trabajo
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Mireia Mollà Herrera;Consellera de Agricultura, Desarrollo Rural, Emergéncia Climática y Transición Ecológica
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Arcadi España García;Conseller de Política Territorial, Obras Públicas y Movilidad
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Carolina Pascual Villalobos;Consellera de Innovación, Universidades, Ciencia y Sociedad Digital
X Legislatura;Segundo gobierno (PSOE+Compromís+Unides Podem-EU) de 10.09.2021-14.05.2022;Rosa Pérez Garijo;Consellera de Participación, Transparencia, Cooperación y Calidad Democrática
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Ximo Puig i Ferrer;Presidente
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Mónica Oltra Jarque;Vicepresidenta y Portavoz del Consell y consellera de Igualdad y Políticas Inclusiva
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Rubén Martínez Dalmau;Vicepresidente segundo del Consell y conseller de Vivienda y Arquitectura Bioclimática
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Vicent Soler i Marco;Conseller de Hacienda y Modelo Económico
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Gabriela Bravo Sanestanislao;Consellera de Justicia, Interior y Administración Pública
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Vicent Marzà Ibáñez;Conseller de Educación, Cultura y Deporte
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Ana Barceló Chico;Consellera de Sanidad Universal y Salud Pública
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Rafael Climent González;Conseller de Economia Sostenible, Sectores Productivos, Comercio y Trabajo
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Mireia Mollà Herrera;Consellera de Agricultura, Desarrollo Rural, Emergéncia Climética y Transición Ecológica
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Arcadi España García;Conseller de Política Territorial, Obras Públicas y Movilidad
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Carolina Pascual Villalobos;Consellera de Innovación, Universidades, Ciencia y Sociedad Digital
X Legislatura;Primer gobierno (PSOE+Compromís+Unides Podem-EU) de 17.06.2019 a 10.09.2021;Rosa Pérez Garijo;Consellera de Participación, Transparencia, Cooperación y Calidad Democrática
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Carlos Mazón Guixot;President
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Susana Camarero Benítez;Vicepresidenta primera i consellera de Servicios Sociales, Igualdad y Vivienda
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Francisco José Gan Pampols;Vicepresidente segundo y conseller para la Recuperación Económica y Social de la Comunitat Valenciana
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Ruth Merino Peña;Consellera de Hacienda y Economía
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Marciano Gómez Gómez;Conseller de Sanidad
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Nuria Martínez Sanchis;Conseller de Justicia y Administración Pública
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Juan Carlos Valderrama Zurián;Conseller de Emergencias e Interior
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;José Antonio Rovira Jover;Conseller de Educación, Cultura, Universidades y Empleo
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Miguel Barrachina Ros;Conseller de Agricultura, Agua, Ganadería, y Pesca
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;Vicente Martínez Mus;Conseller de Medio Ambiente, Infraestructuras y Territorio
XI Legislatura;Tercer gobierno (PP) de 23.11.2024;María Ángela Cano García;Consellera de Innovación, Industria, Comercio y Turismo
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Carlos Mazón Guixot;Presidente
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Susana Camarero Benítez;Vicepresidenta  y consellera de Servicios Sociales, Igualdad y Vivienda
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Ruth Merino Peña;Consellera de Hacienda, Economía y Administración Pública
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Salomé Pradas Ten;Consellera de Justicia e Interior
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Marciano Gómez Gómez;Conseller de Sanidad
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Jose Antonio Rovira Jover;Conseller de Educación, Cultura, Universidades y Empleo
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Miguel Barrachina Ros;Conseller de Agricultura, Agua, Ganadería y Pesca
